hypothesis,references
What is Victoria's largest city?,When did Victoria become Australia's second-largest city?
How much of Victorian farmland is sown for grain?,How much of Victorian farmland is sown for hay?
What is the Victorian constitution based on?,What was Victoria's written constitution based on?
Who runs Victoria's public schools?,What type of government school is Victoria's public school?
What is Victoria's highest mountain?,In what year did Ford announce it would close its Victorian plants?
What is Victoria's lowest temperature?,What type of mountain range is Victoria's northernmost?
Who owns V/Line?,What is the name of the Victorian government's official body?
What was Victoria's population in August of 1851?,What was the population of Victoria in August of 2010?
What percentage of Victoria's dairy cattle are exported?,What percent of Victoria's dairy cattle are exported to?
What was the western half of New South Wales called?,What was the western half of the New South Wales railway called?
What did the miners protest against?,What was the name of the rebellion against the government of Victoria?
How much of Victorian land did Victorian farms occupy in 2004?,How much of Victorian land did Victorian farms occupy?
When did the Wars of Religion end?,During what period did the Wars of Religion occur?
When was the word Huguenot first used?,When did Hugues become a leader of the confederate Party?
Who wrote the Edict of Alès?,What was the name of the French version of the Bible written in?
Who founded the first group of Huguenots?,Who led the first group of Huguenots to arrive at Cape Town?
What city did the Huguenots settle in?,Who was the founder of the Huguenots?
Who issued the Edict of Fontainebleau?,What was the name of Louis XIV's reign?
When did the Huguenot revolt?,When did the Huguenots begin to rebel against the French?
What French town did the Huguenots live in?,What is the name of the French town in which the Huguenots live?
What was the population of New Rochelle in 1705?,What was the population of the Huguenot Street Historic District in 1705?
What was the name of the house in Tours?,What was the name of the place where the prétendus réformés were gathered?
Where is D'Olier Street located?,What city is D'Olier Street named for?
When did the French defeat New France?,In what period did the French and Indian War end?
What did the revocation ban?,What did the revocation of the Protestant services do to the French?
When did the French colonisers arrive in Brazil?,What was the name of the Portuguese colony in South Africa?
Who was the founder of the Huguenot Society?,Who was the last Huguenot to live in the area?
When did the Huguenots switch to German?,In what region did the Huguenots switch to German in 1709?
Who founded Fort Caroline?,What was the name of the group that attacked the French at Fort Caroline?
Who founded Charlesfort?,What was the name of the French colony in South Carolina in 1700?
When did William the Silent die?,What was the name of William the Silent's revolt?
What did the Huguenots fight for in Ireland?,What did the Huguenot regiments fight for during the Williamite war?
Who founded the Huguenot community?,Who helped establish a Huguenot community in present day Saarland?
Who was Capet associated with?,Who did some supporters of the Huguenote hypothesis believe the name Huguenote originated from?
Who was a student of Lefevre?,Who wrote the French translation of the New Testament in 1523?
What did Louis XIV do to the Huguenots?,What did Louis XIV do to try to force the Huguenots to convert to Catholicism?
Who founded the Eleutherian gunpowder mills?,What was the name of the church that the Huguenots lived in?
Who founded the French Protestant Church of London?,Who was the founder of the French Protestant Church of London?
When did the French Protestant Church of London open?,What states did the Huguenot refugees find a safe haven in?
Who was the last German Prime Minister?,Who was the last German Prime Minister to be a Huguenot?
Who invented the atmospheric engine?,What type of engine was Newcomen's?
When did steam engines become popular?,When did steam locomotives begin to be used in England?
What was the Yarrow-Schlick-Tweedy balancing system used on?,In what type of engine did the Yarrow-Schlick-Tweedy balancing system become popular?
What does the steam escape have little effect on?,What happens to the steam escape when the water level drops significantly?
Who invented the steam engine?,What was the name of the Greek mathematician who created the first steam engine?
What type of engines were common in the 19th century?,What type of engines replaced reciprocating engines in the 19th century?
When were steam engines first used?,What type of heat source can be derived from steam engines?
Who developed the steam engine indicator?,Who created the first type of Vauclain engine?
What is another name for an expansion steam engine?,What is the name of the engine cycle in which the cylinder is cooled?
What type of fluid is used in a Rankine cycle?,What is the working fluid of a Rankine cycle usually used for?
What is the creep limit of steam engines?,What type of machinery can be said to have been used in steam engines?
Who invented the Salamanca?,What type of locomotive was the Salamanca built by?
What type of engine is used in marine applications?,What type of steam engine is used in marine use?
Who introduced the concept of duty?,"Who invented the term ""duty"" for steam engine?"
Who developed the first steam engine?,Who developed the first steam powered engine?
Who patented the high pressure engine?,Who was the inventor of the high pressure steam engine?
What type of cooling tower is Energiprojekt?,What type of cooling tower is Energiprojekt used in?
Who invented the centrifugal governor?,What type of locomotive did Watt use?
Who invented the reversing mechanism?,What is the name of the reversing mechanism used to prevent excessive compression?
When was the first steam turbine patented?,When was Thomas Savery's steam engine first used?
What has been superseded by internal combustion engines?,What is the name of the engine that uses a Wankel engine?
What type of valve did James Watt develop?,What type of valve did James Watt use in his early engines?
When was the Corliss steam engine patented?,What was the Corliss steam engine patented in 1849?
Who discovered latent heat?,What type of fluid does the Rankine cycle use?
What is another name for a steam engine?,What type of steam engine uses a chain or screw stoking mechanism to move the fuel from a supply bin to the firebox?
What type of transmission is used in nuclear power plants?,What type of power plant uses steam to drive a turbine?
How much of the earth's crust is oxygen?,How much of the Earth's crust is oxygen in?
What is the most abundant element in the universe?,How much of the earth's atmosphere is oxygen?
What is oxygen a part of?,What is the most abundant element of living organisms?
Who discovered that air is necessary for combustion?,What is the name of John Mayow's work that showed that air is necessary for combustion?
Who was John Mayow?,"Who discovered that fire requires only a part of air that he called ""dephlogisticated air""?"
Who was Joseph Priestley?,What was the name of the gas Priestley focused on in his experiment?
Who wrote Pneumatica?,What is the name of Philo's work?
What is the source of most of the chemical energy released in combustion?,What is the source of most of the chemical energy released by combustion?
What does O2 stand for?,What part of the O2 system does the Apollo 1 crew use?
What is CO2?,What part of the Earth's crust is composed of oxides of silicon?
What is another name for phlogiston?,What was the atomic mass of oxygen in a phlogiston molecule?
When was the double bond discovered?,What is the name of the double bond formed from the filling of molecular orbitals?
Who coined the name oxygen?,What is the ground state of the O2 molecule?
What is Trioxygen?,What did Lavoisier say air rush in when he opened a closed container?
What type of radiation is O2?,What is the common allotrope of oxygen on Earth?
What is the solubility of oxygen in water?,What type of water contains about 4.95 milliliters of dissolved oxygen?
What is the most abundant chemical element in the universe?,What was the most abundant chemical element in the universe in the late 19th century?
When was oxygen-16 discovered?,On what date was oxygen-16 found in the Sun?
What is singlet oxygen formed from?,What do paleoclimatologists measure the ratio of oxygen-18 and oxygen-16 in the shells and skeletons of marine organisms to determine what is like millions of years ago?
What does oxygengen measure?,What do some scientists propose to measure the radiance coming from vegetation canopies in those bands?
What is oxygen attracted to?,What is oxygen attracted to when it is in the presence of an oxygen field?
What is O2?,What type of air does O2 condense?
When did free oxygen gas first appear on Earth?,When did free oxygen begin to appear in the Earth's atmosphere?
What is the main driving factor of the oxygen cycle?,What is the main driving factor for the oxygen cycle?
What is O2?,What type of gas can be produced through electrolysis of water?
What causes gas gangrene?,What is oxygen gas used for when it is used to treat gas gangrene?
What does oxygen form chemical bonds with almost all other elements to give corresponding oxides?,What does oxygen form chemical bonds with?
What is oxygen stored in bulk in?,What happens to oxygen when it is stored in bulk in a non-pressurized fixed-wing aircraft?
What type of compounds contain oxygen?,What are some of the most important compounds that contain oxygen?
What is the most feared effect for divers?,What is the largest proportion of oxygen found in the body?
What is the risk of oxygen toxicity in space suits?,What is the effect of O2 partial pressure in the lungs?
When did the 1973 oil crisis begin?,When did the OAPEC declare an oil embargo?
When did the US withdraw from the Bretton Woods Accord?,When did the US withdraw from the Bretton Woods agreement?
When did the oil price rise?,When did the dollar price of oil rise?
What was the price of oil in 1973?,When did OPEC raise the posted price of oil by 70% in 1973?
Who did Saudi Arabia send funds to?,What was the name of the Middle East conflict between the US and Russia?
What industry was affected by the embargo?,"Along with the UK and France, what other country had embargoed supplies?"
"What country banned flying, driving and boating on Sundays?","What country banned flying, driving and boating on Sundays in 1970?"
Who created the Federal Energy Office?,What did the Federal Energy Office do in 1974?
When was the National Energy Act passed?,When was the National Highway Designation Act signed?
What percentage of Japan's oil came from the Middle East in 1970?,What percentage of Japan's oil came from Middle East countries in 1970?
When did the Soviets invade Afghanistan?,In what year did the US begin to purchase arms from Saudi Arabia?
What was the name of the first Japanese car?,What was the name of the compact car that Mitsubishi introduced in the US?
What was the size of the Ford Fiesta?,"In what year did General Motors, Ford and Chrysler stop producing full-size sedans?"
When did the Apollo program end?,What was the cost of the first humans on the moon?
Who led the Apollo program?,What was the name of the Apollo program that was launched in 1969?
What did Apollo 13 accomplish?,What was the total amount of lunar rocks and soil that Apollo accomplished?
Who led the Apollo program?,Who was the NASA Deputy Administrator at the time of the Apollo program?
Who was Kennedy's first president?,Who was the first president of the United States to fly in space?
Who was Kennedy's successor?,Who was the president of NASA at the time of the Apollo mission?
Who built the MSC?,Who was responsible for the design and construction of the MSC?
What was Mueller's job title?,What was Mueller's position at NASA?
Who was Johnson's special assistant?,In what year did NASA appoint a committee to recommend a launch vehicle?
Who was Kennedy's science advisor?,Who was the deputy director of the Office of Manned Space Flight in 1962?
What was the LOR method?,What did the Lunar Module provide to the crew?
What was the Command Module?,What was the Command Module's main function?
What was carried on the lunar missions?,What was the cost of the first stage of the Saturn V launch vehicle?
Who led the Apollo program?,What was the total weight of the Lunar Module when it was launched?
What was the S-IVB-200 powered by?,What was the second stage of the S-IVB?
Who commanded the Apollo 17 mission?,What type of Apollo missions did Schmitt fly?
In what year did the Apollo 7 mission reach its highest altitude?,What was the highest honor awarded to the astronauts of the Apollo 7 mission?
Who was the first Apollo crew member?,Who was the first Apollo astronaut to wear a spaceuit?
When was the AS-205 mission cancelled?,What was the name of the Apollo mission that was cancelled in 1966?
Who conducted tests of Apollo 1?,What was the name of the test conducted by Mueller?
What was the cause of the accident?,What type of atmosphere was the Apollo Spacecraft Program Office in the cabin?
What was removed from the Block II spacecraft?,What did the Block II design use instead of numbers to prevent fire?
When was Apollo 4 launched?,What was the name of the Apollo 4 mission?
When was Apollo 8 launched?,When did the Apollo 8 mission land on the moon?
When did Apollo 12 land?,On what mission did the Apollo 11 crew return safely?
How long did the Apollo 13 mission last?,What was added to the Apollo 13 mission to increase the mass of the Apollo 13 mission?
When did the Apollo 13 mission end?,What was the age of the Apollo 13 mission?
What is the name of the Apollo program?,What is the name of the Apollo program that was presented in 2009?
When was Skylab built?,What was the name of the Apollo spacecraft that was built on the moon?
What did the Apollo 8 mission result in?,What did the Apollo 8 crew record on the Moon?
Who created the Apollo 11 video?,Who was responsible for compiling the Apollo 11 data?
What are the main sources of European Union law?,What are the primary sources of European Union law?
What are the main sources of European Union law?,What are European Union law's main sources of law?
Who can interpret European Union law?,What is the highest court able to interpret EU law?
What are the EU's primary constitutional sources?,What is the name of the European Union's primary law?
What are the core treaties?,What are the core treaties of the European Union?
When did Greenland sign a Treaty?,In what year did Greenland sign a treaty with Spain?
When was the Lisbon Treaty enacted?,When did the Lisbon Treaty pass?
Who is the European Commission's President?,Who is responsible for setting the agenda for EU's work?
Who oversees the European Commission?,What is the name of the European Commission's member state?
What commission was censured by Parliament in 1999?,What was the name of the European Commission's investigation of Dalli's corruption?
When do European Parliament elections take place?,How many years does the European Parliament have power of amendment and veto?
How many votes does the Council have?,How many members of the European Council are there?
What does article 294 mean?,"What does TFEU article 294 define the ""ordinary legislative procedure"" that applies for most EU acts?"
What is the main judicial body of the EU?,What is the main judicial body of the EU called?
What is the CJEU's duty?,How long has the European Court of Justice been in charge of EU law?
When was the European Communities Act passed?,When did the Court of Justice rule that EU law has primacy?
What is TFEU article 30?,In what case did Van Gend en Loos claim that the Treaties allowed citizens to bring claims against EU institutions?
What did the Court of Justice rule in Foster v British Gas plc?,In what year did the Court of Justice rule that every member state must have at least how many paid holidays?
How long have the principles of European Union law been in place?,How long has the European Court of Justice been following the principles of European Union law?
When is the concept of legal certainty recognised?,How long has the European Court of Justice been working on the concept of legal certainty?
When was the European Convention on Human Rights established?,In what year did the European Convention on Human Rights become an integral part of European Union law?
When was the Social Charter adopted?,When did the Social Charter become a basis for European Community legislation?
When was the Agreement on Social Policy signed?,In what year did the UK join the European Union?
When was the Treaty of Rome signed?,When did Article 65 of the Treaty of Rome ban cartels?
What was the Treaty of Rome?,What does the Treaty on the Functioning of the European Union say states can be responsible for if they want to protect their goods?
What did the Court of Justice rule against?,What did the Court of Justice rule that a law requiring all spirits and liqueurs to have a minimum alcohol content was contrary to article 34?
What did the Treaties focus on?,What did the Court of Justice rule on in the case of Steymann v De Agostini?
What did the Court of Justice rule in the case of Bosman?,What did the Court of Justice rule in the case of Bosman v. Liege?
When was the Treaty on the Functioning of the European Union signed?,When did the Court of Justice rule that there was no prima facie infringement freedom of establishment in the EU?
What did the Court of Justice rule about the right to provide services?,What did the Court of Justice rule that the freedom to provide services under TFEU article 56 was only valid for?
What is the name of the Amazon rainforest?,What is the name of the rainforest that covers most of South America?
How large is the Amazon rainforest?,How much of the world's remaining rainforest is in the Amazon?
How long did the rainforest last?,How many species of trees did the rainforest expand to during the Cretaceous-Paleogene extinction event?
When did the rainforest expand again?,During what time period did the rainforest expand to a mostly inland formation?
When did the Purus Arch split?,When did the Purus Arch split the Amazon River?
When did the Andes Mountains rise?,What body of water did the Purus Arch split up?
When did the Last Glacial Maximum occur?,How long has there been debate over the extent of the changes in rainforest vegetation?
What did the LGM cause?,What type of vegetation is present in the Amazon basin during the Last Glacial Maximum?
What satellite has measured the amount of dust transported by wind from the Sahara to the Amazon?,What satellite has measured the amount of dust transported by wind from Sahara to the Amazon basin?
What is the average amount of dust transported by wind from the Sahara to the Amazon?,What does Meggers say is the maximum amount of dust in the Amazon rainforest?
Who wrote the book Amazonia: Man and Culture in a Counterfeit Paradise?,Who was a prominent proponent of the idea that the rainforest was densely populated?
Who was the first European to travel the length of the Amazon River?,Who is believed to have been the first European to travel the length of the Amazon River?
What is terra preta?,What did the discovery of terra preta allow for?
What is terra preta?,Who found the remains of some of the settlements in the Amazon forest?
How many bird species are in Brazil?,How many invertebrate species have been classified in Brazil?
How many trees are in the Amazon rainforest?,How much of the Ecuadorian rainforest is covered by trees?
What is the average plant biomass in the Amazon?,What is the average plant biomass in the Amazon River?
How much of the Amazon is now used for agriculture?,How much of the rainforest in the Amazon is now used for what?
What did the first two highways lead to?,What has increased the amount of deforestation in the Amazon since the first two highways opened?
How much of the rainforest could be threatened by climate change?,How much of the Amazon rainforest could be threatened in the 21st century by climate change?
What do indigenous peoples struggle to protect?,What do the indigenous tribes of the Amazon use to protect their lands from commercial interests?
Who organized the trees of the Amazon?,What did Kuplich use to map out the Amazon's forests?
What did The Independent write about the drought in 2010?,What did The Independent say the rainforest is on the brink of being turned into?
What is ctenophora?,What do ctenophores and cnidarians rely on for swimming?
How large are ctenophores?,What do ctenophores and cnidarians rely on for digestion?
How many species can ctenophores eat in a day?,How many species of ctenophores can be described?
How many species are hermaphrodites?,What do hermaphrodites have in common with other species?
What are hermaphrodites?,What type of hermaphrodites produce eggs and sperm?
What did Beroe preys on?,What is the name of the ctenophore that caused the Black Sea to collapse?
When was the Cretaceous-Paleogene extinction event?,What type of ctenophore is thought to have been introduced into the Black Sea?
How old are ctenophores?,How long ago were ctenophores thought to have been found?
What do ctenophores have?,What type of cells are ctenophores and cnidarians similar to?
What are ctenophores called?,What do ctenophores and cnidarians call their comb rows?
What does the gastrodermis consist of?,What do ctenophores have in common with other animals?
What do ctenophores do when swimming?,What do ctenophores do to increase their body fluids?
What is the largest sensory feature of ctenophores?,What is the main sensory feature of the ctenophore?
What do ctenophores' tentacles contain?,What part of the body do ctenophores' tentacles have?
How many lobes do lobates have?,How many lobes are there in the Lobata?
How do lobates escape danger?,How do lobates escape danger when they are not eating?
What do Cestida have?,What do Cestida have in common with other planktonic animals?
Where do platyctenids live?,What do Platyctenids use to store eggs?
"When some species are disturbed, what do they do?",What do some species of ctenophores do when disturbed?
What does Haeckelia prey on?,What type of fish does Haeckelia feed on?
When was the Western Atlantic ctenophore introduced?,How did the Western Atlantic ctenophore leidyi get introduced into the Black Sea and Sea of Azov?
What type of fossil is Stromatoveris?,What was Stromatoveris?
What is another name for ctenophores?,When did Harbison conclude that the ctenophores are sister to the bilaterians?
In what year did Fresno become an incorporated city?,What type of tree is featured on the city's flag in honor of the railroad?
What was the Pinedale Assembly Center called?,What was the Pinedale Assembly Center called in 1942?
Who was Bill Aken's father?,Who was Bill Aken's adopted mother?
Where is the Grand 1401?,What is the largest public park in the city?
What is the name of the street in downtown Fresno?,What is the name of the street that was converted into a pedestrian mall in the late 80s?
When was the Tower Theatre built?,What is the name of the historic Tower Theatre?
When did the Tower Theatre open?,What movie did the Tower Theatre play in?
Who designed the Alta Vista Tract?,"What type of homes did Hilliard, Taylor & Wheeler build in the Tower District?"
What is the West Side of Fresno called?,"What is the ""West Side"" of Fresno?"
What is Kearney Boulevard named after?,What was Kearney Boulevard named for?
What year did Woodward Park open?,How many acres of land does Woodward Park have?
What does Sierra Sky Park Airport have?,What type of weather is Sierra Sky Park Airport?
When was Fresno's record high temperature?,What was the record high temperature in Fresno in the year of 1885?
How much of the population of Fresno is Hispanic?,How much of the population of Fresno was comprised of non-Hispanic whites?
What was the population density of the city in 2000?,What was the population density of the city at the time of the first television station?
What is the main north/south freeway in Fresno?,What is the current name of the freeway that connects Fresno to Clovis?
Who built the Santa Fe Railroad Depot?,Who runs the Bakersfield-Stockton mainline?
What did Baran develop?,What was the goal of the concept of Distributed Adaptive Message Block Switching?
What is circuit switching?,How is packet switching compared to circuit switching?
What did Baran develop?,What did Baran develop in his research?
Who developed packet switching?,What did Baran propose to build a nationwide network of?
How are packets routed in connectionless mode?,What is a more accessible name for packet switching in connectionless mode?
When did Frame Relay become operational?,When did X.25 and Frame Relay become fully operational?
What was AppleTalk?,What was the name of the network that was developed by Apple?
What was DECnet?,What was the purpose of the DECnet network?
Who founded Telenet?,What was the purpose of the network?
What was Tymnet?,What did Tymnet use to connect to its customers?
What did AUSTPAC refer to?,What did TELENET and TYMNET both refer to?
What was the first Internet2 Network?,What was the name of the network created by the NSC?
What was the purpose of the VBNS?,What was the name of the network created by the NSF in 1995?
How long did the Black Death last?,How long did the Black Death last in Europe?
Who spread the Black Death?,Who was responsible for the spread of the plague?
When did the plague reach Alexandria?,When did the plague begin to spread to Europe?
Who wrote the 'Black Death'?,Who was responsible for the name atra mors in 1631?
Who was Alexandre Yersin?,Who was the author of the 'Great Pestilence' report?
What is the mortality rate of the bubonic plague?,What was the mortality rate of the bubonic plague in the second edition of the Black Death?
What did the researchers discover about Yersinia pestis?,What did the researchers discover about the presence of DNA/RNA in Y. pestis?
When did the Haensch study publish?,When did the Haensch study conclude that the Black Death was caused by a variant of Y. pestis?
What did Twigg conclude about the Black Death?,What did Shrewsbury conclude about the mortality rate of the plague?
What was the cause of the Black Death?,What did Norman Cantor think was the cause of the plague?
How many people died from the Black Death?,What is the most widely accepted estimate for the death rate of the Middle East during the Black Death?
How many people died in the Black Death?,How many people died from the Plague of London in 1466?
How many people died in the Great Northern War?,How many people died of the Black Death in 1656?
When did the Black Death occur?,When did the Black Death occur in the Ottoman Empire?
What is the term for the earth's lithosphere?,What is the geology of the earth's lithosphere called?
Who created a model of the Earth?,What do seismologists use the arrival times of seismic waves to explain the interior of the Earth?
What does Q stand for?,What is the term for the Pleistocene era?
What is the principle of inclusions and components?,"What does the principle of inclusions and components states that, with sedimentary rocks, if inclusions, then the inclusions must be older than the formation that contains them?"
When did isotopic dates become possible?,What did isotopic dates allow geologists to assign absolute ages to rock units?
What are rock units placed under?,"When rock units are placed under horizontal compression, what do they do to their ratios?"
What are dikes?,What are rock units at the depth of the Grand Canyon called when they are stretched?
What does the Grand Canyon consist of?,What type of rocks have remained in place since Cambrian?
What do geologists study in the laboratory?,What do geologists use to study rocks in the field?
What do structural geologists perform?,What do structural geologists perform to understand the properties of rock deformation?
What is one of the most well-known experiments in structural geology?,What is one of the most well-known structural geology experiments?
Who studies rock samples from outcrop and drill cores?,Who studies rock samples from outcrop and drill cores in order to understand the depositional environment in which the rock units formed?
Who wrote 'The Theory of the Earth'?,Who wrote the theory of the earth's age?
When was the first geological map published?,What was the name of the book published by Lyell?
What is Newcastle's nickname?,What type of city was Newcastle a part of in the 14th century?
What type of settlement was Pons Aelius?,What was the population of Pons Aelius at the time of the Romans' founding?
What was Newcastle's northern fortress called?,Who provided Newcastle with a monopoly in the trade?
How much of Newcastle's population died of plague?,How many of Newcastle's keelmen died from the plague?
What was Newcastle's nickname?,What type of lighting was used in Newcastle in 1817?
What type of street layout does Newcastle still have?,What type of street layout still exists in Newcastle?
When was Grainger Town demolished?,When is the Hoppings funfair held in Newcastle?
Who commissioned the Gateshead Millennium Bridge?,What is the name of the building that was built in the Gateshead Millennium Bridge?
When was the Grainger Market opened?,What was the name of the Grainger Market's first indoor market?
When was the Green Market opened?,What was the name of Newcastle's largest department store in the UK?
What type of housing is the MetroCentre?,What is the name of Newcastle's largest indoor shopping center?
What was the proportion of converted or shared houses in 2011?,What was the proportion of converted or shared houses in 2011 in the Tyneside area?
What type of people live in Newcastle?,What is Newcastle's population of?
What language did the Geordie dialect originate from?,The Geordie dialect has much of its origins in what language?
What language does Widex use?,What language did Widex use to describe Newcastle's sound levels?
What is the name of Newcastle's gay scene?,What is the name of Newcastle's gay bar?
What is the name of the theatre in Newcastle?,What is the name of the theatre in Newcastle called?
What was the name of the first public building to be lit by electric light?,What was the name of the first public building to be lit by electric lights?
When is the Northern Rock Cyclone held?,What is the name of the festival that takes place in Newcastle?
What type of music is Lindisfarne?,What genre of music does Lindisfarne belong to?
When was the Tyneside Cinema renovated?,When was the Tyneside Cinema moved to the Old Town Hall?
Who directed 'Stormy Monday'?,What was the name of the film 'Stormy Monday'?
What is Newcastle International Airport's name?,What is Newcastle's main airport?
Who designed the station?,Who designed the station's exterior?
What type of tunnels does the Tyne and Wear Metro use?,What type of tunnels does the Tyne and Wear Metro run through?
What is another name for the A167?,What is the name of the new line of the A1?
What is Newcastle's main bus company?,What is the name of the bus company that operates in Newcastle?
When did the DFDS ferry service end?,What was the cause of the closure of the DFDS ferry service?
How many independent schools are in Newcastle?,What is the largest private school in Newcastle?
What is the name of the church in Newcastle?,What is the name of the Anglican church at Newcastle?
When was the last addition to the church built?,What was the original building of the Parish Church of St Andrew called?
What radio station does Newcastle have?,What is the name of the station that broadcasts from Newcastle?
Who was Sir Charles Parsons?,Who was the inventor of the steam turbine?
When was the Victoria and Albert Museum founded?,What is the name of the V&A?
What is the V&A's collection?,How many years has the V&A's art collection been in use?
Who was the first director of the V&A?,Who was the first director of the V&A in 1855?
When was the Britain Can Make It exhibition held?,What was the name of the exhibition held by the V&A in 1946?
Where is the V&A located?,What type of art is the V&A planned to be?
Who designed the Secretariat Wing?,Who designed the North and South Courts of the V&A Museum of Childhood?
Who designed the Green Dining Room?,Who designed the Grill Room in 1876-77?
Who designed the Art Library?,Who designed the Cast Courts in 1885?
Who designed the main façade of Cromwell Gardens?,Who designed the façade of Cromwell Gardens?
Who designed the interior of the Royal College of Art?,Who designed the Royal College of Art's main hall?
Who designed the central garden?,Who redesigned the British Galleries' central garden?
Who created the RIBA Drawings and Archives Collection?,Who created the RIBA Drawings and Archives?
What is the name of Pindar's house?,What is the name of Pindar's building?
How many items are in the Jameel Gallery of Islamic Art?,How many items in the Jameel Gallery of Islamic Art are in the collection?
When did the T. T. Tsui Gallery open?,When did the T. T. Tsui Gallery of Chinese Art open?
When did the Toshiba gallery open?,What type of art is displayed in the Toshiba gallery?
When did Forster die?,"Who donated over 18,000 books to the museum in 1869?"
What is EAD?,What is the name of the computer system used at the National Art Library?
Who commissioned the Factory Project?,What was the name of the artist that was commissioned by the Victoria and Albert Museum?
Who founded the V&A?,Who was a major influence on the Art and Crafts movement in the Georgian age?
When was the Möllendorff Dinner Service built?,In what year was the Möllendorff Dinner Service built?
How many items are in the collection?,How many pieces of Delftware are there in the collection?
Who designed the glass balustrade on the staircase?,Who designed the glass balustrade on the staircase and mezzanine in the British Galleries?
Who owns the Talbot Hughes collection?,Who has the most extensive collection of British and American art?
In what year was the Costiff collection acquired?,In what year did the V&A acquire the collection of Vivienne Westwood costumes?
When was the John Jones Collection acquired?,What year was the John Jones Collection of French 18th century art and furnishings acquired?
Who funded Chauncy Hare Townshend's jewellery collection?,What was Townshend's jewellery collection from?
Who designed the Gloucester Candlestick?,What type of bronze is the Gloucester Candlestick made from?
How many instruments did the Horniman Museum loan?,How many instruments did the Horniman Museum loan out?
Who donated the paintings to the museum?,Who donated the paintings of John Sheepshanks to the museum?
Who painted the animal Locomotion?,What was the name of Muybridge's 1887 photograph?
Who designed The Three Graces?,Who designed the most comprehensive collection of post-classical European sculpture in the world?
When were Rodin's works given to the museum?,When was the statue of St John the Baptist given to the Museum?
Who owns the Tate Britain?,What British sculptors' works are on display in the Tate Britain?
How old are the Devonshire Hunting Tapestries?,How long ago were the Devonshire Hunting Tapestries made?
Who designed 'The Forest' tapestry?,Who designed the 'The Forest' tapestry in 1887?
What type of conservation does the V&A have?,What type of conservation is responsible for the long-term preservation of the collections of the V&A?
When did ABC begin broadcasting?,When did ABC begin to broadcast?
Who owns ABC News?,Who owns the ABC stations in Canada?
What was NBC Blue?,What was the name of the radio network NBC Blue originally intended to broadcast?
Who offered to buy NBC Blue?,What company did RCA offer to buy NBC Blue in 1941?
What was ABC's original name?,Who was the president of ABC at the time of the purchase?
When did ABC sell its stake in Eurosport?,When did ABC sell its stake in Eurosport to Disney?
What was ABC's first international broadcast?,What was the name of the television network that ABC broadcast in 1953?
Who is the current host of A Charlie Brown Christmas?,Who owns the rights to ABC's New Year's Rockin' Eve program?
What is ABC's daytime program called?,In what time period did ABC begin airing daytime talk shows?
What was ABC's VHF channel?,What television station did ABC request to broadcast on?
Who bought ABC in 1949?,Who did the U.S. Supreme Court force ABC to sell to?
When did ABC go on the air?,When did the FCC approve ABC's purchase of UPT?
In what year did ABC begin airing The Flintstones?,What was the name of the television station that ABC was trying to replace with a color broadcast?
Who designed the ABC logo?,Who created ABC's 'The dot' logo?
When was the ABC logo first used?,When did the ABC logo first appear on the air?
Who designed the ABC logo?,What type of logo did ABC use in 1962?
Who was the president of ABC in 2004?,Who was the executive producer of ABC's first reality show?
When did Time Warner Cable take over ABC?,When did Time Warner Cable remove ABC's stations from their network?
Who was the original host of 'Who Wants to Be a Millionaire'?,Who was the original host of ABC's 'Who Wants to Be a Millionaire' in 1998?
What was ABC's previous name?,When did ABC change its callsigns to WJZ?
What was ABC's original name?,What was the name of the ABC television series that Goldenson created?
Who was ABC's president at the time?,Who was ABC's president at the time of the launch of theLOVE Radio program?
In what year was'Duel' released?,In what year did ABC launch the Movie of the Week program?
What network did ABC partner with in 1970?,What network did ABC partner with in 1970 to create a network called ABC?
Who was the president of ABC in 1974?,Who was the president of ABC at the time of the Public Health Cigarette Smoking Act?
Who created 'The Love Boat'?,What was the name of the TV show that Silverman created?
Who was the president of ABC in 1977?,What was the name of the ABC News building that was built in 1977?
Who did ABC buy in 1994?,Who was the original host of ABC's 24/7 news channel?
What was ABC's original name?,What was the name of the ABC Studios division that Disney-ABC Television Group merged in 2009?
What channel did ABC move Ugly Betty to?,What channel did ABC move Ugly Betty to after it was acquired by ABC?
What was ABC's original name?,What is the name of the ABC network's affiliated station?
When did ABC begin broadcasting in HD?,What was the original broadcast format of ABC's daytime program?
What was ABC's second season called?,What was the name of ABC's second season of One Life To Live?
What show did ABC cancel in 2013-14?,What NBC show was canceled after only seven months?
Who created NYPD Blue?,Who was the president of NBC in 1994?
Who did ABC buy in 1960?,What television station did ABC buy in 1960?
Who created Wide World of Sports?,Who created Wide World of Sports in 1961?
Who did ABC sell KXYZ to in 1983?,Who did ABC partner with in 1983 to create a new channel?
What is ABC's daytime program called?,What is the name of ABC's daytime program?
"What ABC station is in South Bend, Indiana?","What is the name of the television station that ABC owns in Birmingham, Alabama?"
What channel does ABC own?,What is the name of the VOD service that ABC owns in Times Square?
When was ABC's new logo introduced?,When was the ABC logo re-branded?
What did the All-Channel Receiver Act mandate?,What did the All-Channel Receiver Act mandate the inclusion of in the programming of ABC?
What was The Untouchables originally called?,What was the name of the first television show to be broadcast in color?
When did ABC and Capital Cities merge?,Who was the head of the US Department of Justice when the merger was announced?
When did ABC and Capital Cities merge?,What was the name of Capital Cities' merger with ABC?
